,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
bc_c1,6.907705310532641e-12,3.5304714880723953e-12,2.1282307513526e-12,1.8187986923837163e-12,3.057753486176984e-12,4.150479439302135e-12,4.207245229287393e-12,4.965759574371287e-12,4.988804508387901e-12,1.957395183438404e-12,4.5226123193686796e-12,3.146670641065996e-12
bc_c3,1.987135499550985e-13,1.6972495186628328e-13,1.8367242676873424e-13,2.5991746732331733e-13,3.0695400648345084e-13,2.1764907313492204e-13,1.800263768354099e-13,2.059611568750938e-13,3.4989033697273297e-13,1.7797705854655926e-13,4.210949080749038e-13,9.452140947111692e-14
bc_c4,1.4032584371641677e-29,3.800872586208685e-31,6.014269482953242e-22,1.0878452826983411e-18,5.4259412724686445e-18,5.811031448787033e-21,6.921438945416288e-19,1.0355910426324475e-18,1.0804358123613974e-18,1.0236340950466766e-24,1.1175362587016843e-19,3.771157706500124e-29
num_a1,787289920.0,810721792.0,794642112.0,835736448.0,1116524672.0,1366177408.0,1380060160.0,1315098368.0,1170495232.0,915444608.0,705495680.0,700919744.0
num_a2,1849003776.0,2097929472.0,2806569472.0,4157861888.0,3864243456.0,2613793536.0,1817529216.0,1261953664.0,1404326528.0,1505977856.0,1123412096.0,1545990144.0
num_a3,49383.83984375,58017.41796875,98562.5625,131000.796875,98976.8515625,96377.4765625,91113.0703125,83401.34375,68431.703125,92616.1953125,78311.4609375,41074.9609375
num_a4,120328544.0,107455664.0,89597176.0,72857248.0,66551064.0,57904668.0,55436956.0,61632616.0,78170408.0,91104728.0,95525456.0,103002976.0
num_c1,11223685.0,8223386.5,5423191.0,6180586.0,7223059.5,6870283.5,6468650.5,5694814.5,7656367.0,4863636.0,10127111.0,6994403.0
num_c2,399995.9375,461221.5625,346344.25,445649.15625,228745.265625,41655.69921875,23828.21875,8250.1640625,37605.875,260405.25,487630.71875,347441.59375
num_c3,2507.172119140625,1334.7691650390625,818.392822265625,1248.44580078125,2400.478271484375,3744.6572265625,3498.559814453125,3301.9443359375,1895.5040283203125,931.5836181640625,1921.5667724609375,958.7742309570312
num_c4,1.9872516447087124e-13,5.0931561722809045e-15,0.00046108351671136916,0.766228199005127,1.5474809408187866,0.0005468546296469867,0.2237573117017746,0.5769845247268677,0.465528279542923,2.7458590956541684e-09,0.0452154278755188,2.6974451318440007e-13
wat_a1,3.625274969110137e-09,3.2292029050751125e-09,2.329246573395949e-09,2.181468561346378e-09,3.894993660935597e-09,6.165945976022158e-09,8.125029538064155e-09,8.19198131551957e-09,7.063890805625306e-09,3.3444209623922916e-09,3.2024334295499557e-09,3.0962290509251034e-09
wat_a2,1.2455779463405037e-10,1.4917447832552e-10,1.3663462028468132e-10,1.5714750334350214e-10,1.560018086932402e-10,1.0138761358247095e-10,8.372638693465717e-11,5.918115997260998e-11,6.685051817667542e-11,7.497144571821934e-11,9.77104924748673e-11,1.1385500875427113e-10
wat_a3,1.8059947981541313e-09,1.7327562717994738e-09,1.4242264034791674e-09,1.1932572707706868e-09,1.3793147735086109e-09,1.2208802857571754e-09,1.3394982900649666e-09,1.2675491767311087e-09,1.420044304367707e-09,1.923714743057303e-09,2.148461630824272e-09,1.4402384840295213e-09
wat_a4,1.8512581695983802e-17,9.38370644082712e-18,6.993417513983661e-18,6.079677827000941e-18,3.883708928887521e-18,6.721284501633183e-19,1.886160393800565e-18,4.626989852680214e-18,5.6229678361629564e-18,8.694797174032333e-17,1.061374833080348e-16,4.245542213364347e-17
Q,0.001578067778609693,0.002001337008550763,0.002834747079759836,0.004572301171720028,0.007053090259432793,0.01017813477665186,0.011901045218110085,0.011376935988664627,0.008982590399682522,0.005600662901997566,0.003617063397541642,0.0017834927421063185
PS,98644.828125,98606.484375,98496.90625,98367.59375,98406.703125,98409.1015625,98362.125,98533.96875,98805.28125,98681.2890625,98541.234375,98498.4609375
T,260.1971435546875,265.07769775390625,272.9122619628906,282.4864501953125,288.7524108886719,294.8955383300781,296.8581848144531,295.9899597167969,291.5058288574219,283.7732849121094,275.0810546875,263.1861267089844
dgnd_a01,1.1397681731750708e-07,1.1037361247190347e-07,1.104987603639529e-07,1.0958454765841452e-07,1.1622090312357614e-07,1.3193650261200673e-07,1.4362507272380753e-07,1.4958207827930892e-07,1.4206968046437396e-07,1.2410079364144622e-07,1.1765437335498063e-07,1.1299349722548868e-07
dgnd_a02,3.9360909198649097e-08,3.945897120161135e-08,3.7408923958537343e-08,3.478299959169817e-08,3.63291157157164e-08,3.845108054179036e-08,3.958875893772529e-08,4.0415176982833145e-08,4.0432063030948484e-08,3.954917815462977e-08,4.0450629512633896e-08,3.9572562116063636e-08
dgnd_a03,1.7938685914486996e-06,1.7969674672713154e-06,1.8803282273438526e-06,2.067307605102542e-06,2.080072363241925e-06,2.0397317257447867e-06,2.092698650812963e-06,2.0693989881692687e-06,2.131286692019785e-06,2.0393674731167266e-06,1.985687958949711e-06,1.8930180658571771e-06
dgnd_a04,9.719718008227574e-08,9.710480952662692e-08,9.712714899023922e-08,9.71931299886819e-08,9.704851322567265e-08,9.690945290685704e-08,9.68493978348306e-08,9.68809530377257e-08,9.697935610120112e-08,9.725101079993692e-08,9.747610363319836e-08,9.734770856084651e-08
